('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         802143 function calls (778958 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      290    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
    60/39    0.000    0.000    0.091    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      157    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      146    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.007    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        5    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
      135    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      397    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
      163    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
    42/29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       59    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.013    0.007 connection.py:1(<module>)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      182    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      187    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       15    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
      403    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.024    0.024 ssl_.py:1(<module>)
        2    0.000    0.000    0.014    0.007 response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
       26    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      215    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       25    0.000    0.000    0.001    0.000 typing.py:740(Optional)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
    86/61    0.000    0.000    0.003    0.000 typing.py:508(__getitem__)
    21/13    0.000    0.000    0.122    0.009 {built-in method builtins.__import__}
      116    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      214    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.111    0.111 element.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       73    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      188    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      162    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       47    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       63    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      125    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.020    0.020 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
